,adult,backdrop_path,id,original_language,original_title,popularity,poster_path,release_date,title,vote_average,vote_count
83,FALSE,/nbAbAk80aWCpOS5kOPYJ1L9kE1R.jpg,630566,en,Clouds,15.476,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,10/9/2020,Clouds,8.257,988
84,FALSE,/wXsQvli6tWqja51pYxXNG1LFIGV.jpg,8587,en,The Lion King,149.595,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,6/24/1994,The Lion King,8.257,17865
85,FALSE,/1EAxNqdkVnp48a7NUuNBHGflowM.jpg,283566,ja,シン・エヴァンゲリオン劇場版:||,36.828,/md5wZRRj8biHrGtyitgBZo7674t.jpg,3/8/2021,Evangelion: 3.0+1.0 Thrice Upon a Time,8.257,765
86,FALSE,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,670,ko,올드보이,81.096,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,11/21/2003,Oldboy,8.255,8392
87,FALSE,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,299534,en,Avengers: Endgame,107.543,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,4/24/2019,Avengers: Endgame,8.254,25067
88,FALSE,/aLqtWLA6NQHBwQHvHDq5z4EKUm0.jpg,533514,ja,劇場版 ヴァイオレット・エヴァーガーデン,46.607,/A9R6bukzzRmOzxvDQsXdQpeNm8l.jpg,9/18/2020,Violet Evergarden: The Movie,8.2,397
89,FALSE,/mlxKite1x1PgmIhJgAxNS9eHmH8.jpg,508965,en,Klaus,30.357,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,11/8/2019,Klaus,8.247,3900
90,FALSE,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,299536,en,Avengers: Infinity War,224.782,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,4/25/2018,Avengers: Infinity War,8.246,29104
91,FALSE,/2Xe9lISpwXKhvKiHttbFfVRERQX.jpg,490132,en,Green Book,61.078,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,11/16/2018,Green Book,8.243,11302
92,FALSE,/tyxqfALuq02khuKNCwmeMxrqt8T.jpg,572154,ja,青春ブタ野郎はゆめみる少女の夢を見ない,48.48,/gsRpizQa3fw1um8v7EvFVXvxD6u.jpg,6/15/2019,Rascal Does Not Dream of a Dreaming Girl,8.2,507
93,FALSE,/2Kkqmy3EpXqBDqv1vvsNXX3pwww.jpg,42269,it,C'eravamo tanto amati,30.614,/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg,12/21/1974,We All Loved Each Other So Much,8.237,520
94,FALSE,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,315162,en,Puss in Boots: The Last Wish,201.438,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,12/7/2022,Puss in Boots: The Last Wish,8.235,7388
95,FALSE,/sQkRiQo3nLrQYMXZodDjNUJKHZV.jpg,618344,en,Justice League Dark: Apokolips War,39.021,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,5/5/2020,Justice League Dark: Apokolips War,8.234,1428
96,FALSE,/oA7EHjQPgtPKSrvtNtzA82opnrQ.jpg,265177,fr,Mommy,21.721,/nT4VJ6MfSwUoCorYmkcLVaIenya.jpg,9/19/2014,Mommy,8.2,2662
97,FALSE,/eNWjMbuhGxJdzaIY9ZZ2KvWx2sQ.jpg,110420,ja,おおかみこどもの雨と雪,65.217,/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,7/21/2012,Wolf Children,8.232,2221
98,FALSE,/YLyORLsYIjC0d1TFBSpJKk7piP.jpg,504253,ja,君の膵臓をたべたい,40.542,/qpV8kvRfAntV7D4aOOsLIz7OdPc.jpg,9/1/2018,I Want to Eat Your Pancreas,8.2,1491
99,FALSE,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg,635302,ja,劇場版「鬼滅の刃」無限列車編,195.999,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,10/16/2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.226,3766
100,FALSE,/9o9ci7ZH9chSy8B7YXCBYih8Kkd.jpg,290098,ko,아가씨,67.942,/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,6/1/2016,The Handmaiden,8.222,3604
101,FALSE,/o33acwn7KliNpJRbjy4FrMSpiQ9.jpg,654299,es,Como caído del cielo,23.25,/xg6QZdlHrq2dtSK8cfnQQMnmpeY.jpg,12/24/2019,Out of the Clear Blue Sky,8.219,338
102,FALSE,/yeJhRNtE4XW2lOoVVFO9iuDr3AL.jpg,441130,en,Wolfwalkers,23.051,/53VE3Iv9NiCOJfFMWwQuRUQMaXZ.jpg,10/26/2020,Wolfwalkers,8.219,1130
103,FALSE,/1Jpkm9qZcsT0mSyVXgs4VlGjPNI.jpg,16869,en,Inglourious Basterds,67.203,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,8/2/2009,Inglourious Basterds,8.219,21803
104,FALSE,/ncEsesgOJDNrTUED89hYbA117wo.jpg,603,en,The Matrix,88.901,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,3/31/1999,The Matrix,8.218,25120
105,FALSE,/hND7xAaxxBgaIspp9iMsaEXOSTz.jpg,98,en,Gladiator,166.47,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,5/4/2000,Gladiator,8.218,18000
106,FALSE,/ppKDBRK4TMHxjLPRGx3MQEtJWC0.jpg,37257,en,Witness for the Prosecution,52.966,/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg,12/17/1957,Witness for the Prosecution,8.215,1339
107,FALSE,/rW2xRFlJRbTnBJlQTSjQmjevIwb.jpg,857,en,Saving Private Ryan,116.369,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,7/24/1998,Saving Private Ryan,8.216,15450
108,FALSE,/x1vmewr9K7sXOvwhntlUoorf12k.jpg,694,en,The Shining,68.035,/9PtPnOJSH6pewElRlJPGqC5Gd3W.jpg,5/23/1980,The Shining,8.216,17059
109,FALSE,/uUrV5KSjnZx47Dq7e6STr73iN4N.jpg,24188,it,Il sorpasso,14.553,/4h1ckrJQVcQYjeOkqS8i9BqZ9MI.jpg,12/5/1962,Il Sorpasso,8.213,709
110,FALSE,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,361743,en,Top Gun: Maverick,152.059,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,5/21/2022,Top Gun: Maverick,8.213,8779
111,FALSE,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,354912,en,Coco,127.046,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,10/27/2017,Coco,8.213,18943
112,FALSE,/wyvUmyzqGOBDyqLHRSukGDjI7bH.jpg,50014,en,The Help,103.776,/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg,8/9/2011,The Help,8.211,8048
113,FALSE,/6FQmuTDPd7YxGKYjiesh54VeJ69.jpg,284,en,The Apartment,29.243,/z6QlfbbORwQ2lnaCqbdEZOg3dRx.jpg,6/21/1960,The Apartment,8.209,2207
114,FALSE,/yv7XGQctTMrFM5ZiEm80zk3Jlw2.jpg,522924,en,The Art of Racing in the Rain,32.545,/mi5VN4ww0JZgRFJIaPxxTGKjUg7.jpg,8/8/2019,The Art of Racing in the Rain,8.207,1437
115,FALSE,/xBDE2d6HM1aBKQRu4IT7SfPD9fs.jpg,1124,en,The Prestige,56.414,/tRNlZbgNCNOpLpbPEz5L8G8A0JN.jpg,10/17/2006,The Prestige,8.204,15613
116,FALSE,/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg,11,en,Star Wars,100.49,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,5/25/1977,Star Wars,8.204,20206
117,FALSE,/ecvy2kMxsJ60ej52beZ0F8EOGkL.jpg,11324,en,Shutter Island,76.46,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,2/14/2010,Shutter Island,8.204,23481
118,FALSE,/nLFxvLokHe3bQmrmAfljIfax2jQ.jpg,185,en,A Clockwork Orange,43.14,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,12/19/1971,A Clockwork Orange,8.202,12561
119,FALSE,/oOM2JzhVBjWyZFHW2iBQQ8A3znY.jpg,16672,ja,砂の女,39.715,/rE6vtXBDXy3cjyFmxfsDese0Eo4.jpg,2/15/1964,Woman in the Dunes,8.2,422
120,FALSE,/kTUUiKGKrdRhJsCcYT3Ivtfuuzh.jpg,5156,it,Ladri di biciclette,44.996,/rLpveWO1hTNYF9LUZJZgTdq5nyf.jpg,7/21/1948,Bicycle Thieves,8.198,2315
121,FALSE,/uWVkEo9PWHu9algZsiLPi6sRU64.jpg,556574,en,Hamilton,23.67,/h1B7tW0t399VDjAcWJh8m87469b.jpg,7/3/2020,Hamilton,8.2,1350
